weapon_name,physical_dmg,magic_dmg,fire_dmg,lightning_dmg,holy_dmg,crit_multiplier,poise_dmg,strength_scaling,dexterity_scaling,intelligence_scaling,faith_scaling,arcane_scaling,physical_def,magic_def,fire_def,lightning_def,holy_def,guard_boost,status_resistance,weight,weapon_type,affinity
Godskin Stitcher (lightning),210,0,0,210,0,100,94,E,C,Z,Z,Z,52.25,36.1,43.7,47.5,36.1,33.0,15.2,7.0,HeavyThrustingSwords,lightning
Great epee (lightning),207,0,0,207,0,124,94,E,C,Z,Z,Z,49.4,34.2,41.4,45.0,34.2,31.0,14.25,6.5,HeavyThrustingSwords,lightning
Broadsword (sacred),224,0,0,0,224,100,94,E,E,Z,C,Z,44.65,35.65,29.45,29.45,38.75,31.0,14.25,4.0,StraightSwords,sacred
Cane Sword (sacred),184,0,0,0,184,100,86,E,D,Z,C,Z,38.95,31.05,25.65,25.65,33.75,27.0,12.35,2.5,StraightSwords,sacred
Longsword (sacred),210,0,0,0,210,100,90,E,E,Z,B,Z,42.75,34.5,28.5,28.5,37.5,30.0,14.25,3.5,StraightSwords,sacred
Lordsworn's Straight Sword (sacred),220,0,0,0,220,110,90,E,E,Z,C,Z,42.75,34.5,28.5,28.5,37.5,30.0,14.25,3.5,StraightSwords,sacred
Noble's Slender Sword (sacred),192,0,0,0,192,110,80,E,D,Z,B,Z,40.85,33.35,27.55,27.55,36.25,30.0,13.3,3.5,StraightSwords,sacred
Short Sword (sacred),194,0,0,0,194,100,90,E,E,Z,B,Z,39.9,32.2,26.6,26.6,35.0,28.0,13.3,3.0,StraightSwords,sacred
Warhawk's Talon (sacred),192,0,0,0,192,100,84,E,D,Z,B,Z,39.9,32.2,26.6,26.6,35.0,30.0,13.3,3.0,StraightSwords,sacred
Weathered Straight Sword (sacred),196,0,0,0,196,100,90,E,E,Z,C,Z,40.85,33.35,27.55,27.55,36.25,27.0,13.3,3.0,StraightSwords,sacred
Greatsword (magic),318,318,0,0,0,100,156,E,E,C,Z,Z,79.8,62.5,47.5,47.5,57.5,56.0,26.6,23.0,ColossalSwords,magic
Troll's Golden Sword (magic),300,300,0,0,0,100,152,E,E,C,Z,Z,72.2,57.5,43.7,43.7,52.9,51.0,23.75,19.0,ColossalSwords,magic
Watchdog's Greatsword (magic),274,274,0,0,0,100,164,D,E,B,Z,Z,77.9,61.25,46.55,46.55,56.35,55.0,25.65,22.0,ColossalSwords,magic
Zweihander (magic),272,272,0,0,0,100,126,E,E,B,Z,Z,63.65,50.0,38.0,38.0,46.0,45.0,20.9,15.5,ColossalSwords,magic
Broadsword (quality),229,0,0,0,0,100,94,B,B,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,34.1,15.0,4.0,StraightSwords,quality
Cane Sword (quality),188,0,0,0,0,100,86,B,B,Z,Z,Z,41.0,27.0,27.0,27.0,27.0,29.7,13.0,2.5,StraightSwords,quality
Longsword (quality),215,0,0,0,0,100,90,B,B,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,33.0,15.0,3.5,StraightSwords,quality
Lordsworn's Straight Sword (quality),225,0,0,0,0,110,90,B,B,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,33.0,15.0,3.5,StraightSwords,quality
Noble's Slender Sword (quality),196,0,0,0,0,110,80,B,B,Z,Z,Z,43.0,29.0,29.0,29.0,29.0,33.0,14.0,3.5,StraightSwords,quality
Short Sword (quality),198,0,0,0,0,100,90,B,B,Z,Z,Z,42.0,28.0,28.0,28.0,28.0,30.8,14.0,3.0,StraightSwords,quality
Warhawk's Talon (quality),196,0,0,0,0,100,84,B,B,Z,Z,Z,42.0,28.0,28.0,28.0,28.0,33.0,14.0,3.0,StraightSwords,quality
Weathered Straight Sword (quality),200,0,0,0,0,100,90,B,B,Z,Z,Z,43.0,29.0,29.0,29.0,29.0,29.7,14.0,3.0,StraightSwords,quality
Godskin Stitcher (magic),242,242,0,0,0,100,94,E,E,B,Z,Z,52.25,47.5,36.1,36.1,43.7,33.0,15.2,7.0,HeavyThrustingSwords,magic
Great epee (magic),238,238,0,0,0,124,94,E,E,B,Z,Z,49.4,45.0,34.2,34.2,41.4,31.0,14.25,6.5,HeavyThrustingSwords,magic
Bloodhound Claws (magic),190,190,0,0,0,110,78,E,E,B,Z,Z,36.1,27.5,20.9,20.9,25.3,22.0,10.45,3.0,Claws,magic
Hookclaws (magic),178,178,0,0,0,110,72,E,E,B,Z,Z,33.25,25.0,19.0,19.0,23.0,20.0,9.5,2.0,Claws,magic
Raptor Talons (magic),164,164,0,0,0,110,68,E,D,B,Z,Z,31.35,23.75,18.05,18.05,21.85,19.0,8.55,1.5,Claws,magic
Venomous Fang (magic),186,186,0,0,0,100,78,E,E,B,Z,Z,34.2,26.25,19.95,19.95,24.15,19.0,9.5,2.5,Claws,magic
Rogier's Rapier,227,0,0,0,0,110,62,E,B,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,26.4,11.0,3.5,ThrustingSwords,standard
Rapier,235,0,0,0,0,130,60,D,B,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,24.0,10.0,2.5,ThrustingSwords,standard
Noble's Estoc,254,0,0,0,0,100,60,D,D,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,26.4,11.0,3.5,ThrustingSwords,standard
Frozen Needle,242,0,0,0,0,100,60,D,B,Z,Z,Z,40.0,40.0,28.0,28.0,28.0,22.0,10.0,2.5,ThrustingSwords,standard
Estoc,262,0,0,0,0,100,66,E,B,Z,Z,Z,54.0,36.0,36.0,36.0,36.0,28.8,12.0,4.5,ThrustingSwords,standard
Cleanrot Knight's Sword,267,0,0,0,0,100,66,C,D,Z,Z,Z,51.0,34.0,34.0,34.0,34.0,27.6,11.0,4.0,ThrustingSwords,standard
Antspur Rapier,240,0,0,0,0,100,62,D,C,Z,Z,Z,47.0,31.0,31.0,31.0,31.0,25.2,10.0,3.0,ThrustingSwords,standard
Beast-Repellent Torch,142,0,254,0,0,100,94,B,D,Z,Z,Z,23.0,17.0,28.0,17.0,17.0,22.8,14.0,2.5,Torches,standard
Ghostflame Torch,122,220,0,0,0,100,104,D,D,C,Z,Z,21.0,42.0,13.0,13.0,13.0,22.8,14.0,2.5,Torches,standard
Sentry's Torch,137,0,0,0,245,100,120,D,E,Z,C,Z,30.0,21.0,21.0,21.0,36.0,24.2,18.0,5.0,Torches,standard
St. Trina's Torch,124,0,222,0,0,100,104,D,D,Z,C,Z,25.0,15.0,40.0,15.0,15.0,22.0,15.0,3.0,Torches,standard
Steel-Wire Torch,149,0,267,0,0,100,104,D,B,Z,Z,Z,25.0,18.0,30.0,18.0,18.0,22.8,15.0,3.0,Torches,standard
Torch,132,0,237,0,0,100,84,C,D,Z,Z,Z,21.0,15.0,25.0,15.0,15.0,22.8,12.0,1.5,Torches,standard
Torchpole,254,0,75,0,0,100,72,C,C,Z,Z,Z,48.0,26.0,33.0,26.0,26.0,40.8,16.0,6.0,Torches,standard
Beastman's Cleaver (poison),294,0,0,0,0,100,164,B,Z,Z,Z,D,76.95,40.85,40.85,40.85,40.85,52.0,25.0,16.5,CurvedGreatswords,poison
Dismounter (poison),283,0,0,0,0,100,122,C,C,Z,Z,D,61.75,33.25,33.25,33.25,33.25,42.0,20.0,10.0,CurvedGreatswords,poison
Monk's Flameblade (poison),275,0,0,0,0,100,122,C,B,Z,Z,D,57.95,31.35,31.35,31.35,31.35,39.0,19.0,9.0,CurvedGreatswords,poison
Omen Cleaver (poison),292,0,0,0,0,100,128,C,C,Z,Z,D,64.6,34.2,34.2,34.2,34.2,44.0,21.0,11.5,CurvedGreatswords,poison
Nagakiba (fire),187,0,187,0,0,100,90,C,E,Z,Z,Z,46.55,31.35,41.25,37.95,31.35,33.0,15.2,7.0,Katanas,fire
Uchigatana (fire),187,0,187,0,0,100,90,C,E,Z,Z,Z,42.75,28.5,37.5,34.5,28.5,30.0,14.25,5.5,Katanas,fire
Bloodstained Dagger (occult),173,0,0,0,0,110,60,D,E,Z,Z,B,36.0,21.0,21.0,21.0,21.0,16.5,10.0,2.0,Daggers,occult
Celebrant's Sickle (occult),168,0,0,0,0,100,56,E,D,Z,Z,B,35.0,20.0,20.0,20.0,20.0,16.5,10.0,1.5,Daggers,occult
Dagger (occult),159,0,0,0,0,130,60,E,D,Z,Z,A,35.0,20.0,20.0,20.0,20.0,16.5,10.0,1.5,Daggers,occult
Erdsteel Dagger (occult),144,0,0,0,0,110,60,E,E,Z,D,A,36.0,21.0,21.0,21.0,21.0,16.5,10.0,2.0,Daggers,occult
Great Knife (occult),162,0,0,0,0,110,60,E,D,Z,Z,A,35.0,20.0,20.0,20.0,20.0,16.5,10.0,1.5,Daggers,occult
Misericorde (occult),198,0,0,0,0,140,56,E,D,Z,Z,B,36.0,21.0,21.0,21.0,21.0,16.5,10.0,2.0,Daggers,occult
Parrying Dagger (occult),162,0,0,0,0,110,60,E,D,Z,Z,A,35.0,20.0,20.0,20.0,20.0,16.5,10.0,1.5,Daggers,occult
Wakizashi (occult),202,0,0,0,0,100,66,E,D,Z,Z,B,42.0,24.0,24.0,24.0,24.0,19.8,12.0,3.0,Daggers,occult
Erdtree Greatbow,147,0,0,0,159,100,150,D,D,Z,D,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Greatbows,standard
Golem Greatbow,318,0,0,0,0,100,150,C,D,Z,Z,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,Greatbows,standard
Greatbow,306,0,0,0,0,100,150,D,D,Z,Z,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Greatbows,standard
Lion Greatbow,294,0,0,0,0,100,150,D,D,Z,Z,Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,Greatbows,standard
Bandit's Curved Sword (quality),231,0,0,0,0,100,98,B,B,Z,Z,Z,48.0,36.0,36.0,36.0,36.0,33.0,12.0,5.0,CurvedSwords,quality
Beastman's Curved Sword (quality),221,0,0,0,0,100,98,B,B,Z,Z,Z,44.0,33.0,33.0,33.0,33.0,29.7,11.0,4.0,CurvedSwords,quality
Falchion (quality),213,0,0,0,0,100,94,B,B,Z,Z,Z,42.0,31.0,31.0,31.0,31.0,28.6,10.0,3.5,CurvedSwords,quality
Flowing Curved Sword (quality),213,0,0,0,0,100,94,B,B,Z,Z,Z,42.0,31.0,31.0,31.0,31.0,28.6,10.0,3.5,CurvedSwords,quality
Grossmesser (quality),225,0,0,0,0,100,98,B,B,Z,Z,Z,46.0,34.0,34.0,34.0,34.0,30.8,11.0,4.5,CurvedSwords,quality
Mantis Blade (quality),219,0,0,0,0,100,94,B,B,Z,Z,Z,44.0,33.0,33.0,33.0,33.0,29.7,11.0,4.0,CurvedSwords,quality
Scavenger's Curved Sword (quality),205,0,0,0,0,100,84,B,B,Z,Z,Z,40.0,30.0,30.0,30.0,30.0,27.5,10.0,3.5,CurvedSwords,quality
Scimitar (quality),207,0,0,0,0,100,90,B,B,Z,Z,Z,40.0,30.0,30.0,30.0,30.0,27.5,10.0,3.0,CurvedSwords,quality
Serpent-God's Curved Sword (quality),221,0,0,0,0,100,98,B,B,Z,Z,Z,44.0,33.0,33.0,33.0,33.0,29.7,11.0,4.0,CurvedSwords,quality
Shamshir (quality),211,0,0,0,0,100,90,B,B,Z,Z,Z,42.0,31.0,31.0,31.0,31.0,28.6,10.0,3.5,CurvedSwords,quality
Shotel (quality),188,0,0,0,0,100,86,B,B,Z,Z,Z,37.0,27.0,27.0,27.0,27.0,24.2,9.0,2.0,CurvedSwords,quality
Rusted Anchor (occult),319,0,0,0,0,100,164,D,E,Z,Z,B,68.0,36.0,36.0,36.0,36.0,48.4,21.0,12.5,Greataxes,occult
Longhaft Axe (occult),317,0,0,0,0,100,156,D,E,Z,Z,B,68.0,36.0,36.0,36.0,36.0,48.4,21.0,12.5,Greataxes,occult
Greataxe (occult),328,0,0,0,0,100,168,D,E,Z,Z,B,69.0,37.0,37.0,37.0,37.0,49.5,21.0,13.0,Greataxes,occult
Great Omenkiller Cleaver (occult),308,0,0,0,0,100,150,D,E,Z,Z,B,63.0,33.0,33.0,33.0,45.0,46.2,20.0,11.0,Greataxes,occult
Gargoyle's Great Axe (occult),267,0,0,0,0,100,150,D,E,Z,Z,B,58.0,31.0,31.0,31.0,31.0,40.7,18.0,8.5,Greataxes,occult
Executioner's Greataxe (occult),326,0,0,0,0,115,172,D,E,Z,Z,B,74.0,40.0,40.0,40.0,40.0,52.8,23.0,15.0,Greataxes,occult
Crescent Moon Axe (occult),317,0,0,0,0,100,156,E,D,Z,Z,B,68.0,36.0,36.0,36.0,36.0,48.4,21.0,12.5,Greataxes,occult
Butchering Knife (occult),290,0,0,0,0,100,150,E,D,Z,Z,B,58.0,31.0,31.0,31.0,31.0,40.7,18.0,8.5,Greataxes,occult
Rogier's Rapier (flame),178,0,178,0,0,110,62,E,D,Z,B,Z,46.55,31.35,41.25,37.95,31.35,22.0,10.45,3.5,ThrustingSwords,flame
Rapier (flame),184,0,184,0,0,130,60,E,E,Z,B,Z,42.75,28.5,37.5,34.5,28.5,20.0,9.5,2.5,ThrustingSwords,flame
Noble's Estoc (flame),198,0,198,0,0,100,60,E,E,Z,C,Z,46.55,31.35,41.25,37.95,31.35,22.0,10.45,3.5,ThrustingSwords,flame
Estoc (flame),204,0,204,0,0,100,66,E,E,Z,C,Z,51.3,34.2,45.0,41.4,34.2,24.0,11.4,4.5,ThrustingSwords,flame
Cleanrot Knight's Sword (flame),208,0,208,0,0,100,66,E,E,Z,C,Z,48.45,32.3,42.5,39.1,32.3,23.0,10.45,4.0,ThrustingSwords,flame
Antspur Rapier (flame),188,0,188,0,0,100,62,E,E,Z,B,Z,44.65,29.45,38.75,35.65,29.45,21.0,9.5,3.0,ThrustingSwords,flame
Celebrant's Rib-Rake (magic),208,208,0,0,0,100,68,E,E,C,Z,Z,38.0,31.25,23.75,23.75,28.75,33.0,14.25,5.0,Spears,magic
Clayman's Harpoon (magic),190,254,0,0,0,100,80,E,E,B,Z,Z,46.55,47.5,23.75,23.75,28.75,33.0,15.2,5.5,Spears,magic
Cross-Naginata (magic),234,234,0,0,0,100,88,E,E,B,Z,Z,49.4,40.0,30.4,30.4,36.8,39.0,18.05,8.0,Spears,magic
Iron Spear (magic),218,218,0,0,0,100,80,E,E,C,Z,Z,39.9,32.5,24.7,24.7,29.9,31.0,14.25,4.5,Spears,magic
Partisan (magic),236,236,0,0,0,100,84,E,E,C,Z,Z,45.6,37.5,28.5,28.5,34.5,36.0,17.1,6.5,Spears,magic
Pike (magic),220,220,0,0,0,100,82,E,E,B,Z,Z,50.35,41.25,31.35,31.35,37.95,39.0,18.05,7.5,Spears,magic
Short Spear (magic),214,214,0,0,0,100,80,E,E,C,Z,Z,38.0,31.25,23.75,23.75,28.75,30.0,14.25,4.0,Spears,magic
Spear (magic),218,218,0,0,0,100,80,E,E,C,Z,Z,39.9,32.5,24.7,24.7,29.9,31.0,14.25,4.5,Spears,magic
Spiked Spear (magic),230,230,0,0,0,100,80,E,E,C,Z,Z,43.7,35.0,26.6,26.6,32.2,34.0,16.15,6.0,Spears,magic
Godskin Stitcher (flame),242,0,242,0,0,100,94,E,E,Z,B,Z,52.25,36.1,47.5,43.7,36.1,33.0,15.2,7.0,HeavyThrustingSwords,flame
Great epee (flame),238,0,238,0,0,124,94,E,E,Z,B,Z,49.4,34.2,45.0,41.4,34.2,31.0,14.25,6.5,HeavyThrustingSwords,flame
Greatsword (heavy),349,0,0,0,0,100,171,A,Z,Z,Z,Z,84.0,50.0,50.0,50.0,50.0,61.6,28.0,23.0,ColossalSwords,heavy
Troll's Golden Sword (heavy),352,0,0,0,0,100,152,B,Z,Z,Z,Z,76.0,46.0,46.0,46.0,46.0,56.1,25.0,19.0,ColossalSwords,heavy
Watchdog's Greatsword (heavy),301,0,0,0,0,100,180,S,Z,Z,Z,Z,82.0,49.0,49.0,49.0,49.0,60.5,27.0,22.0,ColossalSwords,heavy
Zweihander (heavy),319,0,0,0,0,100,126,A,Z,Z,Z,Z,67.0,40.0,40.0,40.0,40.0,49.5,22.0,15.5,ColossalSwords,heavy
Rusted Anchor (heavy),312,0,0,0,0,100,180,A,Z,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,12.5,Greataxes,heavy
Longhaft Axe (heavy),331,0,0,0,0,100,156,A,Z,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,12.5,Greataxes,heavy
Greataxe (heavy),343,0,0,0,0,100,168,A,Z,Z,Z,Z,69.0,37.0,37.0,37.0,37.0,49.5,21.0,13.0,Greataxes,heavy
Great Omenkiller Cleaver (heavy),321,0,0,0,0,100,150,A,Z,Z,Z,Z,63.0,33.0,33.0,33.0,45.0,46.2,20.0,11.0,Greataxes,heavy
Gargoyle's Great Axe (heavy),261,0,0,0,0,100,165,S,Z,Z,Z,Z,58.0,31.0,31.0,31.0,31.0,40.7,18.0,8.5,Greataxes,heavy
Executioner's Greataxe (heavy),319,0,0,0,0,115,189,A,Z,Z,Z,Z,74.0,40.0,40.0,40.0,40.0,52.8,23.0,15.0,Greataxes,heavy
Crescent Moon Axe (heavy),331,0,0,0,0,100,156,A,Z,Z,Z,Z,68.0,36.0,36.0,36.0,36.0,48.4,21.0,12.5,Greataxes,heavy
Butchering Knife (heavy),303,0,0,0,0,100,150,A,Z,Z,Z,Z,58.0,31.0,31.0,31.0,31.0,40.7,18.0,8.5,Greataxes,heavy
Gargoyle's Twinblade (lightning),205,0,0,205,0,100,100,E,C,Z,Z,Z,45.6,30.4,36.8,40.0,30.4,32.0,15.2,8.5,Twinblades,lightning
Godskin Peeler (lightning),201,0,0,201,0,100,90,E,C,Z,Z,Z,44.65,29.45,35.65,38.75,29.45,31.0,14.25,8.0,Twinblades,lightning
Twinblade (lightning),198,0,0,198,0,100,90,E,C,Z,Z,Z,42.75,28.5,34.5,37.5,28.5,30.0,14.25,7.0,Twinblades,lightning
Twinned Knight Swords (lightning),203,0,0,203,0,100,94,E,C,Z,Z,Z,44.65,29.45,35.65,38.75,29.45,31.0,14.25,8.0,Twinblades,lightning
Grave Scythe (fire),234,0,234,0,0,100,120,D,E,Z,Z,Z,46.55,31.35,41.25,37.95,31.35,33.0,15.2,9.5,Reapers,fire
Scythe (fire),204,0,204,0,0,100,110,C,E,Z,Z,Z,42.75,28.5,37.5,34.5,28.5,30.0,14.25,7.5,Reapers,fire
Greatsword (fire),270,0,270,0,0,100,156,C,E,Z,Z,Z,79.8,47.5,62.5,57.5,47.5,56.0,26.6,23.0,ColossalSwords,fire
Troll's Golden Sword (fire),255,0,255,0,0,100,152,C,E,Z,Z,Z,72.2,43.7,57.5,52.9,43.7,51.0,23.75,19.0,ColossalSwords,fire
Watchdog's Greatsword (fire),232,0,232,0,0,100,164,B,E,Z,Z,Z,77.9,46.55,61.25,56.35,46.55,55.0,25.65,22.0,ColossalSwords,fire
Zweihander (fire),231,0,231,0,0,100,126,C,E,Z,Z,Z,63.65,38.0,50.0,46.0,38.0,45.0,20.9,15.5,ColossalSwords,fire
Bandit's Curved Sword (poison),242,0,0,0,0,100,98,C,C,Z,Z,D,45.6,34.2,34.2,34.2,34.2,30.0,12.0,5.0,CurvedSwords,poison
Beastman's Curved Sword (poison),232,0,0,0,0,100,98,B,D,Z,Z,D,41.8,31.35,31.35,31.35,31.35,27.0,11.0,4.0,CurvedSwords,poison
Falchion (poison),223,0,0,0,0,100,94,C,C,Z,Z,D,39.9,29.45,29.45,29.45,29.45,26.0,10.0,3.5,CurvedSwords,poison
Flowing Curved Sword (poison),223,0,0,0,0,100,94,D,B,Z,Z,D,39.9,29.45,29.45,29.45,29.45,26.0,10.0,3.5,CurvedSwords,poison
Grossmesser (poison),236,0,0,0,0,100,98,C,C,Z,Z,D,43.7,32.3,32.3,32.3,32.3,28.0,11.0,4.5,CurvedSwords,poison
Mantis Blade (poison),230,0,0,0,0,100,94,C,C,Z,Z,D,41.8,31.35,31.35,31.35,31.35,27.0,11.0,4.0,CurvedSwords,poison
Scavenger's Curved Sword (poison),215,0,0,0,0,100,84,C,C,Z,Z,D,38.0,28.5,28.5,28.5,28.5,25.0,10.0,3.5,CurvedSwords,poison
Scimitar (poison),217,0,0,0,0,100,90,D,B,Z,Z,D,38.0,28.5,28.5,28.5,28.5,25.0,10.0,3.0,CurvedSwords,poison
Serpent-God's Curved Sword (poison),232,0,0,0,0,100,98,B,D,Z,Z,D,41.8,31.35,31.35,31.35,31.35,27.0,11.0,4.0,CurvedSwords,poison
Shamshir (poison),221,0,0,0,0,100,90,C,C,Z,Z,D,39.9,29.45,29.45,29.45,29.45,26.0,10.0,3.5,CurvedSwords,poison
Shotel (poison),197,0,0,0,0,100,86,D,B,Z,Z,D,35.15,25.65,25.65,25.65,25.65,22.0,9.0,2.0,CurvedSwords,poison
Chainlink Flail (flame),214,0,214,0,0,100,122,D,E,Z,B,Z,40.85,26.6,35.0,32.2,26.6,24.0,17.1,8.0,Flails,flame
Flail (flame),214,0,214,0,0,100,112,E,E,Z,B,Z,34.2,22.8,30.0,27.6,22.8,20.0,14.25,5.0,Flails,flame
Nightrider Flail (flame),220,0,220,0,0,100,116,E,E,Z,B,Z,35.15,23.75,31.25,28.75,23.75,21.0,14.25,6.0,Flails,flame
Caestus (heavy),202,0,0,0,0,100,100,A,Z,Z,Z,Z,35.0,20.0,20.0,20.0,20.0,22.0,10.0,1.5,Fists,heavy
Iron Ball (heavy),211,0,0,0,0,100,121,A,Z,Z,Z,Z,38.0,22.0,22.0,22.0,22.0,24.2,11.0,2.5,Fists,heavy
Katar (heavy),218,0,0,0,0,110,100,B,Z,Z,Z,Z,36.0,21.0,21.0,21.0,21.0,23.1,10.0,2.5,Fists,heavy
Spiked Caestus (heavy),204,0,0,0,0,100,100,A,Z,Z,Z,Z,35.0,20.0,20.0,20.0,20.0,22.0,10.0,2.0,Fists,heavy
Star Fist (heavy),220,0,0,0,0,100,123,A,Z,Z,Z,Z,41.0,23.0,23.0,23.0,23.0,25.3,11.0,3.0,Fists,heavy
Greatsword (poison),341,0,0,0,0,100,156,B,D,Z,Z,D,79.8,47.5,47.5,47.5,47.5,56.0,28.0,23.0,ColossalSwords,poison
Troll's Golden Sword (poison),322,0,0,0,0,100,152,B,D,Z,Z,D,72.2,43.7,43.7,43.7,43.7,51.0,25.0,19.0,ColossalSwords,poison
Watchdog's Greatsword (poison),294,0,0,0,0,100,164,A,E,Z,Z,D,77.9,46.55,46.55,46.55,46.55,55.0,27.0,22.0,ColossalSwords,poison
Zweihander (poison),292,0,0,0,0,100,126,C,B,Z,Z,D,63.65,38.0,38.0,38.0,38.0,45.0,22.0,15.5,ColossalSwords,poison
Caestus (blood),184,0,0,0,0,100,100,C,C,Z,Z,D,33.25,19.0,19.0,19.0,19.0,20.0,9.5,1.5,Fists,blood
Iron Ball (blood),206,0,0,0,0,100,110,B,D,Z,Z,D,36.1,20.9,20.9,20.9,20.9,22.0,10.45,2.5,Fists,blood
Katar (blood),199,0,0,0,0,110,100,D,C,Z,Z,D,34.2,19.95,19.95,19.95,19.95,21.0,9.5,2.5,Fists,blood
Spiked Caestus (blood),187,0,0,0,0,100,100,C,C,Z,Z,D,33.25,19.0,19.0,19.0,19.0,20.0,9.5,2.0,Fists,blood
Star Fist (blood),215,0,0,0,0,100,112,B,D,Z,Z,D,38.95,21.85,21.85,21.85,21.85,23.0,10.45,3.0,Fists,blood
Rogier's Rapier (lightning),154,0,0,154,0,110,62,E,C,Z,Z,Z,46.55,31.35,37.95,41.25,31.35,22.0,10.45,3.5,ThrustingSwords,lightning
Rapier (lightning),160,0,0,160,0,130,60,E,C,Z,Z,Z,42.75,28.5,34.5,37.5,28.5,20.0,9.5,2.5,ThrustingSwords,lightning
Noble's Estoc (lightning),172,0,0,172,0,100,60,E,C,Z,Z,Z,46.55,31.35,37.95,41.25,31.35,22.0,10.45,3.5,ThrustingSwords,lightning
Estoc (lightning),177,0,0,177,0,100,66,E,C,Z,Z,Z,51.3,34.2,41.4,45.0,34.2,24.0,11.4,4.5,ThrustingSwords,lightning
Cleanrot Knight's Sword (lightning),180,0,0,180,0,100,66,E,C,Z,Z,Z,48.45,32.3,39.1,42.5,32.3,23.0,10.45,4.0,ThrustingSwords,lightning
Antspur Rapier (lightning),163,0,0,163,0,100,62,E,C,Z,Z,Z,44.65,29.45,35.65,38.75,29.45,21.0,9.5,3.0,ThrustingSwords,lightning
Hoslow's Petal Whip (lightning),182,0,0,182,0,100,92,E,D,Z,Z,Z,26.6,16.15,19.55,21.25,16.15,17.0,10.45,3.5,Whips,lightning
Thorned Whip (lightning),168,0,0,168,0,100,84,E,C,Z,Z,Z,24.7,14.25,17.25,18.75,14.25,15.0,9.5,2.5,Whips,lightning
Urumi (lightning),167,0,0,167,0,100,92,E,C,Z,Z,Z,25.65,15.2,18.4,20.0,15.2,15.0,10.45,3.0,Whips,lightning
Whip (lightning),167,0,0,167,0,100,84,E,C,Z,Z,Z,23.75,14.25,17.25,18.75,14.25,15.0,9.5,2.0,Whips,lightning
Hoslow's Petal Whip (blood),225,0,0,0,0,100,92,D,C,Z,Z,D,26.6,16.15,16.15,16.15,16.15,17.0,10.45,3.5,Whips,blood
Thorned Whip (blood),208,0,0,0,0,100,84,D,B,Z,Z,D,24.7,14.25,14.25,14.25,14.25,15.0,9.5,2.5,Whips,blood
Urumi (blood),206,0,0,0,0,100,92,D,B,Z,Z,D,25.65,15.2,15.2,15.2,15.2,15.0,10.45,3.0,Whips,blood
Whip (blood),206,0,0,0,0,100,84,C,C,Z,Z,D,23.75,14.25,14.25,14.25,14.25,15.0,9.5,2.0,Whips,blood
Dragonscale Blade,269,0,0,0,0,100,90,D,B,Z,Z,Z,35.0,25.0,25.0,50.0,25.0,33.0,15.0,5.5,Katanas,standard
Hand of Malenia,286,0,0,0,0,100,90,E,B,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,36.3,16.0,7.0,Katanas,standard
Meteoric Ore Blade,274,176,0,0,0,100,104,C,D,C,Z,Z,50.0,45.0,31.0,31.0,31.0,36.3,16.0,7.5,Katanas,standard
Moonveil,178,213,0,0,0,100,90,E,B,B,Z,Z,31.0,57.0,26.0,26.0,26.0,34.1,15.0,6.5,Katanas,standard
Nagakiba,281,0,0,0,0,100,90,D,B,Z,Z,Z,49.0,33.0,33.0,33.0,33.0,39.6,16.0,7.0,Katanas,standard
Rivers of Blood,186,0,186,0,0,100,90,E,B,Z,Z,D,36.0,26.0,52.0,26.0,26.0,34.1,15.0,6.5,Katanas,standard
Serpentbone Blade,294,0,0,0,0,100,84,E,B,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,36.0,15.0,6.0,Katanas,standard
Uchigatana,281,0,0,0,0,100,90,D,C,Z,Z,Z,45.0,30.0,30.0,30.0,30.0,36.0,15.0,5.5,Katanas,standard
Hoslow's Petal Whip (cold),189,151,0,0,0,100,92,D,C,D,Z,Z,26.6,19.55,16.15,16.15,16.15,17.0,10.45,3.5,Whips,cold
Thorned Whip (cold),174,140,0,0,0,100,84,D,B,C,Z,Z,24.7,17.25,14.25,14.25,14.25,15.0,9.5,2.5,Whips,cold
Urumi (cold),172,138,0,0,0,100,92,E,B,C,Z,Z,25.65,18.4,15.2,15.2,15.2,15.0,10.45,3.0,Whips,cold
Whip (cold),172,138,0,0,0,100,84,D,C,C,Z,Z,23.75,17.25,14.25,14.25,14.25,15.0,9.5,2.0,Whips,cold
Chainlink Flail (magic),214,214,0,0,0,100,122,D,E,B,Z,Z,40.85,35.0,26.6,26.6,32.2,24.0,17.1,8.0,Flails,magic
Flail (magic),214,214,0,0,0,100,112,E,E,B,Z,Z,34.2,30.0,22.8,22.8,27.6,20.0,14.25,5.0,Flails,magic
